check_id,category,corpus,analysis_profile,analysis_reading,granularity,references_json,passage_ids_json,passage_count,membership_count,disputed_count,reference_gap_count,ketiv_uncertainty_count,chapter_crossing_count,exclusion_count,source_ids_json,language_counts_json,elided_token_count,leading_punctuation_token_count,trailing_punctuation_token_count,membership_sha256,reconstruction_sha256,lemma_sequence_sha256,provenance_sha256,verification_sha256,neighbor_check,comparison_check,status
g-pauline-letter,Pauline letter,greek,edition_complete,source,verse,"[""ROM 8:1""]","[""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_ROM_008_001~bc768c434ae3ad878fc1c1336a3c9fad1d1060021d42446347bcdfc8091cbe4a""]",1,8,0,0,0,0,0,"[""macula-greek""]","{""greek"":8}",0,0,1,160bb5074cdaf22b50c3de2b55973c5742923edb5116566c944ad49fb9990bb6,c5d2ef9b65f214236368278346d7d345c3e21ced4fb5e2d28973642c8ec358ad,db3c5f43f72656e8efe627c6a55d08ddb03c3b37d7756b49a565f875bd002bc3,e894da060c2abf4694c6cba238a5d247fe109a6108a00f0a22b992ffb6fc3e3c,e720465db2999499f6c55c979ccf5129faf141e7b5a66469b12ad19591de7ea8,passed,not_applicable,PASS
g-general-letter,General letter,greek,edition_complete,source,verse,"[""JAS 1:1""]","[""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_JAS_001_001~b06f934101c2cdb307240445164faef2080202d6d42ecb94ca196ba911a4ef42""]",1,15,0,0,0,0,0,"[""macula-greek""]","{""greek"":15}",0,0,1,074bdeadc8af1e4331fc8faf864cb9a53259f975a3e3f705535baaa5c2959a25,16e05e2337bfb35756ecd9cdb6a7ea772659c9698a5cc1707fb9e0ed17be5470,9ea82336cdab0ea1af304e78d3bf45a3e822d962ff778b3b7289f7c484ea5209,2fa8a74aac240eefaea449f30b0c5135f69924af21ad45777d2726de50b0285f,0cc782730fc76d996a7acf229d38f480007a906ed5952ba5252834f77ec4a029,passed,not_applicable,PASS
g-revelation,Revelation,greek,edition_complete,source,verse,"[""REV 1:1""]","[""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_REV_001_001~6e217846896b68fa524295b4de30d01aff00c1fb890f8095ffc044fa6563283c""]",1,28,0,0,0,0,0,"[""macula-greek""]","{""greek"":28}",0,0,5,16a61e2e115fa7c221a5c22af66e7fa1f36e40131fcd66fd801695f1a8873b21,acd1835a06e1846bf2a51b86723c0fa266f61e34658051fd349b6cdb07dd40f8,4b42c8cdae0f16904654027de74d8902527e345582e1b3d1ff6a531ae718f0b4,40ec49ee2730141e286bebc0fc74d938b028bd1edff438fe98831c8ca95a227a,92a424dd5e311bd890fc534ac8ce2223a6d087a43a260f07fa76f4ef5e70dc56,passed,not_applicable,PASS
g-multiverse-sentence,Greek sentence spanning multiple verses,greek,edition_complete,source,sentence,"[""MAT 1:2"",""MAT 1:3"",""MAT 1:4"",""MAT 1:5"",""MAT 1:6""]","[""P_GNT_EDITION_COMPLETE_SOURCE_SENTENCE_MAT_001_002_MAT_001_006~3a050cd739ba2899f370ecc9e52025b1549b5b80f784b07237089ad5eb50c4c0""]",1,82,0,0,0,0,0,"[""macula-greek""]","{""greek"":82}",0,0,13,87ced9b21a388f8c8439fae742fc0919f752aff7b17188b6d0f2f4e0db056530,db6e7fef6ce224fbaf6f155b40207619db3b656dfd3896c33c1847324b9989cd,32b6b39aa765e22354ff4e619b78d74b6386f3175369d149315bc4c386dfabd9,4b17099ade3bdf9a53a639f30e9391a8e6863072999b12d2f6dfa913400e4d4c,a65b3a7a2cf5a85dbf775edc921e342cdfafc18398945d047887c7dd75bbf3be,passed,not_applicable,PASS
g-elision,Greek elision reconstruction,greek,edition_complete,source,verse,"[""MAT 1:20""]","[""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_MAT_001_020~0c4289985bada65465651a70dc89fad8e92113de810c75cb85dfe571a7d7de20""]",1,31,0,0,0,0,0,"[""macula-greek""]","{""greek"":31}",1,0,3,e9770bb317ea3069ebf663d7d2d160b30f04e31dae47985a86949a70cdee8254,fa843bd886c8c3e2da8b34ef31d8cb83b6246711b4b552c113ce1312037434f9,c7c0d8409491392c0a703998ec35400d0d90a57ac25e7e1e25d5ec9f870d1ede,bb7e9a065849df125eb684067b4d6d39f9cf38b8d40bb78a945fb194312c84ee,bf7f6b17790c9d647fb45b240de3e673635a248acdea9f768b14bb6cdb7ccc34,passed,not_applicable,PASS
g-chapter-crossing-window,Greek chapter-crossing two-verse window,greek,edition_complete,source,two_verse,"[""MAT 1:25"",""MAT 2:1""]","[""P_GNT_EDITION_COMPLETE_SOURCE_TWO_VERSE_MAT_001_025_MAT_002_001~512b0576e92cd7c585e95075679fdf5f9985543deedf5c03cdb5184ef248ce64""]",1,34,0,0,0,1,0,"[""macula-greek""]","{""greek"":34}",0,0,3,a8fe884b2a8c8197acf2b54659a40427a4f38bac0caa22b1ccfbfce2150cf16c,dfcc80e2bbd88facc2046453366564c0ddfd799ffed651575a5ceb05f316f548,273402f8a571bd93160d440b25e66912b51ea62fd818048310732d87f565991a,f10ca77c9e1119bcb0a883fad2e83172fae5e7fe259245c84094bb49e33b010d,b1d6fd0633662d0277276fddfcca14733d6d00b70aebc4e1996992eebeaef600,passed,not_applicable,PASS
g-edition-omitted-verse-gap,Edition-omitted verse gap,greek,edition_complete,source,two_verse,"[""MAT 17:20"",""MAT 17:22""]","[""P_GNT_EDITION_COMPLETE_SOURCE_TWO_VERSE_MAT_017_020_MAT_017_022~787da2b971dd4fbe1eb16ca6e4c706faab3b2dfc0b24db9e83124b5c5db05c45""]",1,50,0,1,0,0,0,"[""macula-greek""]","{""greek"":50}",0,0,7,8c3f9417f82f7cb8e51390b6fdff25ab9dfa451bddabcca0e01cef4937d11d9f,fa18600330b9e7ac9a8621a14713124ed8feeaa5c44a54f73ed646c4fb397483,15cbf55d845ccf3fc73697818887be5143d4e919e125982589da4c7f21635fd6,716a4757675793c3a639773f7f8563e1a573ca94974e3dfc0e2fe2acdd660e3e,b0602ef0dbd3e0e425e3c3e54874a7bf0419f58da139358d1566ac696b7d157c,passed,not_applicable,PASS
g-mark-16-8-boundary,Mark 16:8 before disputed-text boundary,greek,edition_complete,source,verse,"[""MRK 16:8""]","[""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_MRK_016_008~5b605f7722e0092939e633f10164d0266df59be4a1ec9ead93523c29d1d48e91""]",1,18,0,0,0,0,0,"[""macula-greek""]","{""greek"":18}",0,0,4,30548a2a6a9c12c4fb37aec7e63bc2aafd4f69a74360aa7de6d3b321e1faa15f,9a18a819e779962cea938eec6945b17c8e71159a0d95bd788181dc67b3e56acb,6376e70347523eb53ba8af7d0794eb839fadfbd549ffa5adcd7de50bd7d45f52,e62cbfacb547d3556b4d011a8976b00ee7d6bea23a3de2dfea627304932e0923,6bac051194f64e3f4b056aefde4536eb3e608b48beafebe5d8e73f97b5b6df06,passed,critical_core/source:1,PASS
g-mark-longer-ending,Mark 16:9 through 16:20; edition-complete versus critical-core,greek,edition_complete,source,verse,"[""MRK 16:9"",""MRK 16:10"",""MRK 16:11"",""MRK 16:12"",""MRK 16:13"",""MRK 16:14"",""MRK 16:15"",""MRK 16:16"",""MRK 16:17"",""MRK 16:18"",""MRK 16:19"",""MRK 16:20""]","[""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_MRK_016_009~28da1ea23370ad4ef6d8377efeefb2a51a26b7a24ace9cdeedf76f52eaa1bc8f"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_MRK_016_010~5e7c1ebdeceb05283ff367e83887d429c5a5fd708d0447b0ae1a1080eb011b8e"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_MRK_016_011~87e3a464629d74bc3d5bb8cd513fcf197ea9de6b2e7041c53ca0896e45c95b67"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_MRK_016_012~b21b8913c11bea1a5904ee2bc699cec0121a1439a24eb30cdceeefca03185411"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_MRK_016_013~2dc8deb9f7e2c31258536d17bc0cdc75c3f576b83a4e26244e9f555ac2b06768"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_MRK_016_014~5bbd0d615e32c7a1ea6d843235c2d07fcc9909e634b4e220687d81c1463e364b"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_MRK_016_015~29b024e5e84dda1335d66b847a22cfaeea71ad9229e1d875b13879e6b0612e36"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_MRK_016_016~8ff538237c09c68fedc68fc2923b518a173efda60eb731b3523766fcc04cee9a"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_MRK_016_017~a60b4d7cf376e22c4b7c5e3554afbb2dc375a1fc614e1ae1acb1fdc4a9af64d1"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_MRK_016_018~be614c9cb6f4f7f55a36bebef1dff86f5fc6bfbf8b62f770425e5c3a07a9355f"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_MRK_016_019~625e83612e8b2b341e0bc52aee496c5e0c4413feee782541bb4c8386630555da"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_MRK_016_020~8388eb549c7da95850ec819cf4b093bff94c7df11878c714e6c6c554f8961927""]",12,167,12,0,0,0,0,"[""macula-greek""]","{""greek"":167}",3,1,20,982c81566cfa2330e4a7af94ecdcd0b23564c3de029350583f7d8428777f322f,419b6b15696484d8de832b74abccc27c4d1fb2cbf05eac079e7e173959ac2aa8,520432979f42f17203ab57ad24733a49b0ea9ee2a35e8837d11a3a9ab5868fe8,7f8cd157b437131123289362ba4b73ad6350f9193536a0ece083b111b606f543,f31d65e45b0f5d0a946a1f64e447aeac6e1c11775870ab1b1fad974e213b28a7,passed,critical_core/source:0,PASS
g-mark-alternate-ending,Mark 16:99 alternate ending and analytical boundary,greek,edition_complete,source,verse,"[""MRK 16:99""]","[""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_MRK_016_099~5327b4c8b1f8d683c3582d63d954572f92b4c770899967eb2b6835ef2e6c1f76""]",1,33,1,0,0,0,0,"[""macula-greek""]","{""greek"":33}",1,1,2,40e2e60c772e61fdae64078306d13a26803f14e7c5366f6adf81127fd81499a1,78c6e1ee4597156085010d96d06957ff7cba7d4c1d03fffe9587ab921ba3ffb0,48c2f4a6e70de429c6dc514be5f98def48666d9dc936eb985e241aabb809d2b1,6252551e8c490ea218a37117baac81905a63ec340f0ef4808051d4b74b037d91,82a17d9f0cfcbce213e4785e087920942428eb94bdd7adfa695467f5b57c1c7a,passed,critical_core/source:0,PASS
g-john-7-52-boundary,John 7:52 before disputed-text boundary,greek,edition_complete,source,verse,"[""JHN 7:52""]","[""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_JHN_007_052~d245d8fcfe05c4668cfac76bc7bec7a9c2736ee56ada60490f27d12b487a70a9""]",1,21,0,0,0,0,0,"[""macula-greek""]","{""greek"":21}",0,0,2,8dd328c26cb94ae4c21f1b31b1c28236a3b79d65210f6974cd705d423cd9c03d,1c50acfb36aaeba0cbf48cceeb51690609d7bb50515d9da45bee5884d617903d,b335e5df1a04cbb96533a63f91e38b86a5c9b4221c5ca700de37a5c8dbd786cd,440d70febfcf90cf0dcfb504fcd5766e5e91150afd1648d644d6feb1a687e410,526b553203ed6117840979e83d7d0fb2d9b2092f82ab61b124ec85a7fcdd3236,passed,critical_core/source:1,PASS
g-john-pericope-adulterae,John 7:53 through 8:11; edition-complete versus critical-core,greek,edition_complete,source,verse,"[""JHN 7:53"",""JHN 8:1"",""JHN 8:2"",""JHN 8:3"",""JHN 8:4"",""JHN 8:5"",""JHN 8:6"",""JHN 8:7"",""JHN 8:8"",""JHN 8:9"",""JHN 8:10"",""JHN 8:11""]","[""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_JHN_007_053~b7d330c358c0eba268b8f1f561ba49a6203e3748f5f0ad97eb284d1bc79b73b2"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_JHN_008_001~ad775386b4a3423532717d7b85c654d78d914aa73f415eae3635796888635c00"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_JHN_008_002~e1d1b85d0cc58e624a9efdd0fb69f891d0d9bc031dbd928656cab2e8e9642f86"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_JHN_008_003~ad2b1f6bb5cb4e944c849ec03537ecc6c0e14458989a9a253d6e82c950e539a4"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_JHN_008_004~e500565500af2c66b7bc8425713304ef1736ae33faffb264814bc0ff8385820f"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_JHN_008_005~693f1a38eaf1b430047196688944ab75b0905bd892ee24e00965b4c812df2336"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_JHN_008_006~aa00bfc184d3512b90cdaee0c774a362d6c888aa3e9ad9870a21577afaffcb83"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_JHN_008_007~c4b431e1db9f0969d026860d15c2e6058bac13ea3b6fab221f0aeb814455bdd4"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_JHN_008_008~a42f70ad46addc2fe4bf3f6d5ad4fd97a2ab42d3f73d515531dc10e2c2747117"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_JHN_008_009~b8335da74ebccf332d4ba55b794b21b826ec66e7daddeb9a33625c5609d6626a"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_JHN_008_010~65dd3ef809e78ac183881ac675ec95d2e26a5164a14a2e1b4329280a08fb53a9"",""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_JHN_008_011~d1335bbb4bedaf2e66997b2ad38812afb8f783b6bd96d90b7bd786570fc3bc15""]",12,190,12,0,0,0,0,"[""macula-greek""]","{""greek"":190}",1,1,38,83ca803ccc53e9cd7a236a87655e0b184929d22c0bfdf5974dd2f247b2e2ab50,9edb34557156e758f3d3b5967779e9e68eb391c026da929f6a01c8fc8f481341,110c32960c45dd9b6269aad8393c556092fd04a6e8888e8fa87cdc3d3e212cfb,eb6b2e2aac004515173e7412541bcd3d71ecf84d0606d640dcaa60f03ae1cbad,3e61d6426ae895b659ec4923cff606fb01a6b4775ab2eaf3796e3a87c70d95bd,passed,critical_core/source:0,PASS
g-john-8-12-boundary,John 8:12 after disputed-text boundary; edition-complete versus critical-core,greek,edition_complete,source,verse,"[""JHN 8:12""]","[""P_GNT_EDITION_COMPLETE_SOURCE_VERSE_JHN_008_012~4dc4155a4a286a7323f82b90996d1f2b90dc30d1f16e39dd947082b66b80f84b""]",1,28,0,0,0,0,0,"[""macula-greek""]","{""greek"":28}",1,0,3,0ba1b74433e2e4f30ec174c0ebc2fdc4b3b9d47c4dd9da92f4c08f5f63610fee,fce03ace48b022e6600bf7af4cedbce43fc22f5226ee669cf6779dca11976fb5,38878ace87d38a7d2d225d9580fff8abfed720723d6cb7d4b95d5b86197cfa63,924c67d0ebc2c8fd574e0ae62746b13bd67800a0b6377f8e7f79a7b0376cba5e,c7a5486c843d28c5cb5438ef1dae771565f98d9dfd146ecf8e28f791fee6dbed,passed,critical_core/source:1,PASS
